ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P105_N,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00004,1,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,4,1,1200,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00004,1,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,4,4,2400,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00004,1,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,4,3,1800,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00011,2,1,1,1,128.214285714286,1,1,1,1,PASTO SUDAN,1466,3,1,3,3,3000,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00011,2,1,1,1,128.214285714286,1,1,1,1,PASTO SUDAN,1466,3,1,3,2,4000,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00011,2,1,1,1,128.214285714286,1,1,1,1,PASTO SUDAN,1466,3,1,3,1,2000,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00045,5,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,4,1,500,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00045,5,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,4,2,750,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00045,5,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,4,4,900,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00045,5,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,4,3,1000,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00045,5,1,1,1,128.214285714286,1,1,1,1,PASTO SUDAN,1466,3,1,1,1,4000,000
2021,20,PIURA,06,SULLANA,01,SULLANA,00237,00147,14,1,1,1,138.076923076923,1,1,1,2,PASTO ELEFANTE,1424,3,1,2,1,60,000
